Metric,Value
classification_accuracy,0.0
weighted_accuracy,0.0
organization_success_rate,100.0
error_rate,50.0
processing_time,9.774593114852905
extraction_success_rate,100.0
average_processing_time_per_file,9.740723371505737
average_confidence_score,0.4
category_distribution,"{""Code"": 1}"
error_types,{}
